Dilution,1.5,SIK,21-02-2020,09:02,,
S.100 Plate,Source Plate 1,,MWP 96,20XXXX-LIB0000X-Flex library pool,,Eppi
DispenseToWaste=True,DispenseToWasteCycles=3,DispenseToWasteVolume=1e-7,UseDeionization=True,OptimizationLevel=ReorderAndParallel,WasteErrorHandling=Ask,
Source Well,Target Well,volume [µL],Liqued Name,,,
A1,E7,9,Metagenome1,,,
B1,F7,5.05,Metagenome2,,,
C1,G7,2.13,Metagenome3,,,
D1,H7,1.91,Metagenome4,,,
E1,E7,1.88,Metagenome5,,,
F1,F7,2.32,Metagenome6,,,
G1,G7,3.44,Metagenome7,,,
H1,H7,9,Metagenome8,,,
A2,E7,2.38,Metagenome9,,,
B2,F7,1.29,Metagenome10,,,
C2,G7,1.9,Metagenome11,,,
D2,H7,0.95,Metagenome12,,,
E2,E7,1.57,Metagenome13,,,
F2,F7,1.57,Metagenome14,,,
G2,G7,1.13,Metagenome15,,,
H2,H7,3.59,Metagenome16,,,
A3,E7,1.11,Metagenome17,,,
B3,F7,1.27,Metagenome18,,,
C3,G7,9,Metagenome19,,,
D3,H7,1.08,Metagenome20,,,
E3,E7,0.96,Metagenome21,,,
F3,F7,9,Metagenome22,,,
G3,G7,1.28,Metagenome23,,,
H3,H7,3.02,Metagenome24,,,
A4,E7,3.08,Metagenome25,,,
B4,F7,1.28,Metagenome26,,,
C4,G7,0.92,Metagenome27,,,
D4,H7,1.71,Metagenome28,,,
E4,E7,1,Metagenome29,,,
F4,F7,0.9,Metagenome30,,,
G4,G7,0.97,Metagenome31,,,
H4,H7,0.99,Metagenome32,,,
A5,E7,1.72,Metagenome33,,,
B5,F7,0.82,Metagenome34,,,
C5,G7,0.66,Metagenome35,,,
D5,H7,0.99,Metagenome36,,,
E5,E7,1.1,Metagenome37,,,
F5,F7,1.21,Metagenome38,,,
G5,G7,0.78,Metagenome39,,,
H5,H7,1.28,Metagenome40,,,
A6,E7,1.56,Metagenome41,,,
B6,F7,3.22,Metagenome42,,,
C6,G7,0.6,Metagenome43,,,
D6,H7,2.34,Metagenome44,,,
E6,E7,1.88,Metagenome45,,,
F6,F7,1.39,Metagenome46,,,
G6,G7,2.27,Metagenome47,,,
H6,H7,1.1,Metagenome48,,,
A7,E7,1.6,Metagenome49,,,
B7,F7,1.17,Metagenome50,,,
C7,G7,1.31,Metagenome51,,,
D7,H7,1.59,Metagenome52,,,
E7,E7,1.73,Metagenome53,,,
F7,F7,0.95,Metagenome54,,,
G7,G7,0.95,Metagenome55,,,
H7,H7,1.64,Metagenome56,,,
A8,E7,9,Metagenome57,,,
B8,F7,1.36,Metagenome58,,,
C8,G7,1.87,Metagenome59,,,
D8,H7,9,Metagenome60,,,
E8,E7,1.15,Metagenome61,,,
F8,F7,1.12,Metagenome62,,,
G8,G7,1.35,Metagenome63,,,
H8,H7,2.02,Metagenome64,,,
A9,E7,1.73,Metagenome65,,,
B9,F7,1.04,Metagenome66,,,
C9,G7,1.12,Metagenome67,,,
D9,H7,0.85,Metagenome68,,,
E9,E7,8.58,Metagenome69,,,
F9,F7,1.44,Metagenome70,,,
G9,G7,0.83,Metagenome71,,,
H9,H7,1.42,Metagenome72,,,
A10,E7,2.53,Metagenome73,,,
B10,F7,2.1,Metagenome74,,,
C10,G7,9,Metagenome75,,,
D10,H7,1.42,Metagenome76,,,
E10,E7,0.82,Metagenome77,,,
F10,F7,9,Metagenome78,,,
G10,G7,1.14,Metagenome79,,,
H10,H7,1.45,Metagenome80,,,
A11,E7,7.96,Metagenome81,,,
B11,F7,9,Metagenome82,,,
C11,G7,0.81,Metagenome83,,,
D11,H7,0.83,Metagenome84,,,
E11,E7,1.84,Metagenome85,,,
F11,F7,1.36,Metagenome86,,,
G11,G7,1.68,Metagenome87,,,
H11,H7,9,Metagenome88,,,
A12,E7,9,Metagenome89,,,
B12,F7,8.61,Metagenome90,,,
C12,G7,2.45,Metagenome91,,,
D12,H7,2.32,Metagenome92,,,
E12,E7,9,Metagenome93,,,
F12,F7,2.41,Metagenome94,,,
